# FRASES MOTIVACIONALES — MÁXIMO ESFUERZO
# Formato: frase | Autor
# ─────────────────────────────────────────────────────────────


## ── MENTE Y CONTROL MENTAL ────────────────────────────────────

La calidad de tu vida depende de la calidad de tus pensamientos. | Marco Aurelio
Tú tienes el poder sobre tu mente, no los eventos externos; entiende esto, y encontrarás tu fuerza. | Marco Aurelio
Todo lo que escuchamos es una opinión, no un hecho; todo lo que vemos es una perspectiva, no la verdad. | Marco Aurelio
Solo hay un camino a la felicidad: desapégate de las cosas que no dependen de ti. | Epicteto
Te conviertes en eso a lo que le prestas atención. | Epicteto
No esperes que los eventos sucedan como deseas, sino desea que ocurran como son. | Epicteto
El sabio nunca carecerá de alegría, pues ella nacerá de sus propias virtudes. | Séneca
El mayor lastre de la vida es la espera del mañana y la pérdida del hoy. | Séneca
Todo en la vida es un juego mental. | David Goggins
Tu mente dirige tu vida: o controlas tu mente o tu mente te controla a ti. | Anónimo
El éxito es, en primer lugar, una disposición de la mente. | Anónimo
No existen los límites, solo las limitaciones mentales. | Anónimo
Ganar es una decisión consciente; perder es una decisión inconsciente. | Anónimo
Vives a la altura de tus creencias; aquello en lo que crees, en eso te conviertes. | Anónimo
La incredulidad nos frena y es aliada de la mediocridad. | Anónimo
Es la repetición de afirmaciones lo que lleva a la creencia; y una vez que la creencia se convierte en convicción profunda, las cosas comienzan a suceder. | Muhammad Ali
Vacía tu copa para que pueda ser llenada; quédate sin nada para ganar la totalidad. | Bruce Lee
La vida es tu maestra y tú estás en un estado de aprendizaje constante. | Bruce Lee


## ── MIEDO Y VALENTÍA ──────────────────────────────────────────

Siente miedo, pero hazlo de todas maneras. | Anónimo
Si tienes miedo, estás de enhorabuena: es una ocasión de crecer. | Anónimo
No tengas miedo al miedo; ten miedo a la cobardía, a no atreverte. | Anónimo
Miedo no afrontado, miedo que engorda; miedo afrontado, miedo que mengua. | Anónimo
Elimina la palabra imposible de tu vocabulario. | Anónimo
Imposible es solo una palabra que utilizan los débiles que encuentran más fácil vivir en un mundo que les han dado que explorar el poder que tienen para cambiarlo. | Muhammad Ali
Imposible no es un hecho. Es una opinión. Imposible no es una declaración. Es un desafío. | Muhammad Ali
No reces por una vida sencilla; reza por la fortaleza de resistir una vida difícil. | Bruce Lee
Pocas palabras hay tan importantes como la confianza, porque cuanto mayor es la confianza, menor es el miedo. | Jorge Valdano


## ── DISCIPLINA Y HÁBITOS ──────────────────────────────────────

Si quieres dominar la mente y eliminar tu regulador, tendrás que volverte adicto al trabajo duro. | David Goggins
La motivación no cambia a nadie; la mala mano que era mi vida era algo que yo, y solo yo, podía enmendar. | David Goggins
No caigas en la tentación de decir «por un día no pasa nada»; sí, sí que pasa. | Anónimo
No te acostumbres al eslogan «ya lo haré»: algún día suele ser ningún día. | Anónimo
Decir «es que yo soy así» es una excusa barata para no cambiar. | Anónimo
Lo difícil no es el trabajo, lo difícil es la disciplina del trabajo. | Anónimo
La autocomplacencia es el principio del fin; si te relajas, estás perdido. | Anónimo
Quienes vencen las tentaciones, avanzan; quienes se dejan vencer por ellas, se estancan. | Anónimo
Tu mayor enemigo es tu pereza. | Anónimo
Éxito = hábitos = repetición = disciplina. | Anónimo
Evita la dispersión a toda costa y protege tu foco. | Anónimo
La genialidad no es otra cosa que la práctica diaria. Repite, repite, repite. | Anónimo
Si a un niño le enseñas el drive, también le puedes enseñar la voluntad. La voluntad se educa igual que un drive. Todo se puede entrenar. | Toni Nadal
Prepárate cuando no hace falta, para cuando haga falta estar preparado. | Anónimo
Si quieres cambiar el mundo, empieza por hacerte la cama. | William H. McRaven
Si no puedes hacer las cosas pequeñas correctamente, jamás harás las cosas grandes correctamente. | William H. McRaven
Puede que haya gente con más talento que tú, pero no hay excusas para que nadie trabaje más duro que tú. | Derek Jeter


## ── ACCIÓN Y COMIENZO ─────────────────────────────────────────

La visión sin acción es inútil; una vez esté clara la dirección, hay que pasar a la acción. | Anónimo
Nadie va a venir a salvar tu culo. ¡Depende de ti! | David Goggins
No te des el lujo de inventar excusas. | Anónimo
No te limites a cumplir: te retratas. | Anónimo
El secreto de avanzar es comenzar. | Anónimo
Nada tarda tanto como lo que no se empieza. | Anónimo
El momento perfecto no existe. | Anónimo
El exceso de planificación paraliza. | Anónimo
No hacer nada es lo peor que se puede hacer. | Anónimo
Si quieres algo, ponte en marcha; las soluciones aparecen por el camino. | Anónimo
Esperar a sentirse bien para actuar es garantizar la inacción. | Anónimo
Da igual lo que piensas, dices o planeas; lo importante es lo que haces. | Anónimo
La acción es la verdadera medida de la inteligencia. | Anónimo
Si decides algo y no actúas, no has decidido nada. | Anónimo
No decidir también es decidir algo. | Anónimo
Ser realista no es inspirador. | Anónimo


## ── RESILIENCIA Y FRACASO ─────────────────────────────────────

Permítete todo —dudas, bajones, miedos—, menos una cosa: desistir. | Anónimo
El trabajo más duro es no rendirse. | Anónimo
Lo que realmente tiene mérito es continuar cuando no puedes más. | Anónimo
Da igual las veces que te caes si te levantas una más. | Anónimo
Sólo cuando me impulso más allá del dolor y el sufrimiento, más allá de mis limitaciones percibidas, soy capaz de lograr más. | David Goggins
Toma su negatividad y úsala para dominar la tarea a cumplir con todo lo que tienes. | David Goggins
Deja de culpar a la suerte de tu vida. | Anónimo
Hay un momento en la vida que cambia para mal: cuando te resignas. | Anónimo
Evitar los problemas o huir de ellos equivale a no crecer. | Anónimo
Vivir es gestionar problemas, uno tras otro. | Anónimo
Ganar es no tener miedo a perder. | Anónimo
Unas veces se gana y otras se aprende. | Anónimo
No hay mayor riesgo que no arriesgar. | Anónimo
Fracasa pronto para tener éxito rápido. | Anónimo
Hay gente que nunca se ha equivocado, pero toda su vida es un error. | Anónimo
Si no estás cometiendo errores es que no estás avanzando. | Anónimo
La vida no es justa, y cuanto antes lo descubras, mejor te irá. | William H. McRaven
Los verdaderos líderes aprenden de sus fracasos, utilizan esas lecciones para motivarse y no temen volver a intentarlo. | William H. McRaven
Si quieres cambiar el mundo, deslízate de cabeza por el obstáculo. | William H. McRaven
Si quieres cambiar el mundo, nunca, pero nunca, toques esa campana. | William H. McRaven
Sólo un hombre que sabe lo que se siente al ser derrotado puede llegar al fondo de su alma y sacar lo que le queda de energía para ganar un combate que está igualado. | Muhammad Ali
La lucha de Rafael ha estado siempre en la idea de superarse a sí mismo. | Toni Nadal
La única forma de avanzar es que nos hagan reconocer que no sabemos lo suficiente o que no hemos desarrollado todo nuestro potencial. | Toni Nadal
Si crees que no puedes mejorar, no sabes nada de la vida. | Rafa Nadal
No te establezcas en una forma; adáptala, constrúyela y déjala crecer. Sé como el agua. | Bruce Lee
Adapta lo que es útil, rechaza lo que no sirve, y añade lo que es específicamente tuyo. | Bruce Lee


## ── EXCELENCIA Y METAS ────────────────────────────────────────

Dedícate a ser el mejor siendo diferente. | Anónimo
Sé tan bueno que los demás no puedan ignorarte. | Anónimo
Si no lo entregas todo, lo que entregas es nada. | Anónimo
Excelencia = compromiso ciento por ciento. | Anónimo
El compromiso se tiene o no se tiene; no existe el compromiso a medias. | Anónimo
Lo primero de todo: decide lo que quieres ser, hacer y tener. | Anónimo
Quien no sabe lo que quiere acaba donde no quiere estar. | Anónimo
Existe una fuerte relación entre claridad de metas y lo que se consigue. | Anónimo
No cuestiones si algo es o no posible; solo preocúpate de cómo conseguirlo. | Anónimo
Haz lo que amas para que otros amen lo que haces. | Anónimo
Si haces lo que amas, siempre lo harás mejor. | Anónimo
Soy el más grande. Me lo dije incluso a mí mismo cuando no sabía que lo era. | Muhammad Ali
La pelea se gana o se pierde lejos de testigos, tras las cortinas, en el gimnasio y en la carretera, mucho antes de bailar bajo las luces del ring. | Muhammad Ali
Los campeones no están hechos en el gimnasio. Los campeones están hechos de algo que tienen en su interior: un deseo, un sueño, una visión. | Muhammad Ali
El talento siempre ha necesitado de energía, y no existe mejor energético que la pasión. | Jorge Valdano
El talento necesita exigencia, porque los seres humanos crecemos al nivel de las dificultades que vamos encontrando. | Jorge Valdano
Para mí hay un principio fundamental: el control. De la situación, de la pelota, de cada cosa que hago. | Rafa Nadal
No concibo no tener ilusión por las cosas que uno hace, sea lo que sea, al nivel que sea. | Rafa Nadal
En todo el mundo existen seres humanos increíbles. Se trata de quererlo como si no hubiera un mañana, porque puede que no lo haya. | David Goggins
Elige lo positivo. Tienes la elección; eres el maestro de tu actitud. | Bruce Lee
Hay que buscar el equilibrio en el movimiento y no en la quietud. | Bruce Lee
La vida es amplia, sin límites. No hay bordes, no hay fronteras. | Bruce Lee
No naciste siendo un ganador, de igual modo que no naciste siendo un perdedor. Tú eres lo que haces de ti mismo. | Lou Holtz
Si se puede hacer penicilina del moho, seguro que se puede hacer algo provechoso de ti. | Muhammad Ali


## ── LIDERAZGO Y RESPONSABILIDAD ──────────────────────────────

La autorresponsabilidad es el primer requisito del autoliderazgo. | Anónimo
O eres víctima o eres protagonista; o gobiernas tu vida o te la gobiernan otros. | Anónimo
No hay nadie que vaya de víctima que haya logrado algo grande. | Anónimo
Los ganadores buscan soluciones; los perdedores buscan excusas. | Anónimo
Cambia el enfoque: del cuánto gano al cómo sirvo. | Anónimo
Cuida tu entorno: somos una media de las cinco personas con las que más nos relacionamos. | Anónimo
Si quieres cambiar el mundo, encuentra a alguien que te ayude a remar. | William H. McRaven
Si quieres cambiar el mundo, mide a las personas según el tamaño de su corazón. | William H. McRaven
Si quieres cambiar el mundo, sé la mejor versión de ti mismo en los momentos más oscuros. | William H. McRaven
Si quieres cambiar el mundo, empieza a cantar cuando el lodo te llegue al cuello. | William H. McRaven
El hombre sabio se preocupa por la intención de sus acciones, no por sus resultados. | Séneca
Aprender cuesta. La labor de los profesores y padres es enseñar a amar el esfuerzo. | Toni Nadal
Un equipo no está completo si el líder solo cuenta con los cracks. Sin los humildes no se llega a ninguna parte. | Manel Estiarte
Conseguir buenos jugadores es fácil. Conseguir que jueguen juntos es la parte más difícil. | Casey Stengel
Si solo piensas en ti mismo y no en los demás, nunca alcanzas objetivos. | Paolo Maldini
Cuando tienes razón, nadie lo recuerda; cuando estás equivocado, nadie lo olvida. | Muhammad Ali
